字段名	字段含义	库名	表名	表描述
als_m12_id_avg_monnum	按身份证号查询，近12个月平均每月申请次数(有申请月份平均)	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_avg_monnum	"按身份证号查询，近12个月平均每月申请次数(有申请月份平均)(取""空/N""；空：无申请记录；N申请记录详情(保留两位小数))"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_oth_allnum	按身份证号查询，近12个月申请其他的次数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_oth_allnum	"按身份证号查询，近12个月申请其他的次数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_oth_orgnum	按身份证号查询，近12个月申请其他的机构数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_oth_orgnum	"按身份证号查询，近12个月申请其他的机构数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_af_allnum	按身份证号查询，近12个月申请汽车金融的次数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_af_allnum	"按身份证号查询，近12个月申请汽车金融的次数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_af_orgnum	按身份证号查询，近12个月申请汽车金融的机构数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_af_orgnum	"按身份证号查询，近12个月申请汽车金融的机构数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_caon_allnum	按身份证号查询，近12个月申请线上现金分期的次数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
m12_id_caon_allnum	"按身份证号查询，近12个月申请线上现金分期的次数(取""空/N""；空：无申请记录；N申请记录详情)"	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
als_m12_id_caon_orgnum	按身份证号查询，近12个月申请线上现金分期的机构数	edap_mrs	BRDT_APPLYLOANSTR	百融多头变量
